@N: MF284 |Setting synthesis effort to medium for the design
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[26] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[27] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[28] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[29] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[30] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[31] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_accu0.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[31] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[23] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[22] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[21] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[20] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[19] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[18] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[17] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[16] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[15] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[14] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[13] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[12] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[11] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[10] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[9] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[8] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[7] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[6] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[5] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[4] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[3] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[2] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[1] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[0] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: MO231 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\ice40_himax_video_process_64.v":320:0:320:5|Found counter in view:work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog) instance ro_waddr[7:0] 
@N: MO231 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\ice40_himax_video_process_64.v":236:0:236:5|Found counter in view:work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog) instance rbcnt[6:0] 
@N: MO231 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\ice40_himax_video_process_64.v":452:0:452:5|Found counter in view:work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog) instance r_waddr10[12:0] 
@N: MO231 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\ice40_himax_video_process_64.v":442:0:442:5|Found counter in view:work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog) instance r_waddr01[11:0] 
@N: MO231 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\ice40_himax_video_process_64.v":432:0:432:5|Found counter in view:work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog) instance r_waddr00[11:0] 
@N: MO231 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\ice40_himax_video_process_64.v":391:0:391:5|Found counter in view:work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog) instance ro_raddr[7:0] 
@N: MF794 |RAM u_ram256x32_ro.lscc_ram_dp_inst.mem[23:0] required 24 registers during mapping 
@N: MF794 |RAM g_scratch_4k\.u_dpram4096x16.lscc_ram_dp_inst.mem[15:0] required 73 registers during mapping 
@N: MF794 |RAM genblk3\.u_sbram_d2.lscc_ram_dp_inst.mem[31:0] required 147 registers during mapping 
@N: FX271 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\ice40_himax_video_process_64.v":236:0:236:5|Replicating instance genblk5\.u_ice40_himax_video_process_64.rbcnt[1] (in view: work.lsc_ml_ice40_himax_humandet_top(verilog)) with 10 loads 1 time to improve timing.
@N: FX271 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\ice40_himax_video_process_64.v":236:0:236:5|Replicating instance genblk5\.u_ice40_himax_video_process_64.rbcnt[0] (in view: work.lsc_ml_ice40_himax_humandet_top(verilog)) with 11 loads 1 time to improve timing.
@N: FX271 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\ice40_himax_video_process_64.v":236:0:236:5|Replicating instance genblk5\.u_ice40_himax_video_process_64.rbcnt[5] (in view: work.lsc_ml_ice40_himax_humandet_top(verilog)) with 8 loads 1 time to improve timing.
@N: FX271 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\ice40_himax_video_process_64.v":236:0:236:5|Replicating instance genblk5\.u_ice40_himax_video_process_64.rbcnt[4] (in view: work.lsc_ml_ice40_himax_humandet_top(verilog)) with 9 loads 1 time to improve timing.
@N: FX271 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_uart.v":148:0:148:5|Replicating instance g_on_en_uart\.u_lsc_uart.fifo_waddr[0] (in view: work.lsc_ml_ice40_himax_humandet_top(verilog)) with 19 loads 1 time to improve timing.
@N: FX271 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_uart.v":148:0:148:5|Replicating instance g_on_en_uart\.u_lsc_uart.fifo_waddr[1] (in view: work.lsc_ml_ice40_himax_humandet_top(verilog)) with 18 loads 1 time to improve timing.
@N: FX271 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_uart.v":148:0:148:5|Replicating instance g_on_en_uart\.u_lsc_uart.fifo_waddr[2] (in view: work.lsc_ml_ice40_himax_humandet_top(verilog)) with 15 loads 1 time to improve timing.
@N: FX271 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_uart.v":148:0:148:5|Replicating instance g_on_en_uart\.u_lsc_uart.fifo_waddr[3] (in view: work.lsc_ml_ice40_himax_humandet_top(verilog)) with 13 loads 1 time to improve timing.
@N: FX271 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_uart.v":148:0:148:5|Replicating instance g_on_en_uart\.u_lsc_uart.fifo_waddr[4] (in view: work.lsc_ml_ice40_himax_humandet_top(verilog)) with 13 loads 1 time to improve timing.
@N: FX271 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_uart.v":148:0:148:5|Replicating instance g_on_en_uart\.u_lsc_uart.fifo_waddr[5] (in view: work.lsc_ml_ice40_himax_humandet_top(verilog)) with 10 loads 1 time to improve timing.
@N: FX271 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_uart.v":148:0:148:5|Replicating instance g_on_en_uart\.u_lsc_uart.fifo_waddr[6] (in view: work.lsc_ml_ice40_himax_humandet_top(verilog)) with 8 loads 1 time to improve timing.
@N: FX271 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\ice40_himax_video_process_64.v":126:0:126:5|Replicating instance genblk5\.u_ice40_himax_video_process_64.sb_r[9] (in view: work.lsc_ml_ice40_himax_humandet_top(verilog)) with 33 loads 2 times to improve timing.
@N: FX271 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\ice40_himax_video_process_64.v":118:0:118:5|Replicating instance genblk5\.u_ice40_himax_video_process_64.pcnt[0] (in view: work.lsc_ml_ice40_himax_humandet_top(verilog)) with 41 loads 2 times to improve timing.
@N: MT320 |This timing report is an estimate of place and route data. For final timing results, use the FPGA vendor place and route report.
@N: MT322 |Clock constraints include only register-to-register paths associated with each individual clock.
